epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.191,3.43489,3.88122,3.37366,0.01495,0.04255,0.00666,0.00244,3.14154,7.42047,3.154,0.0800703,1.99496e-05,1.99496e-05
2,225.001,2.94433,3.42461,3.01726,0.08803,0.02979,0.03172,0.01149,2.55343,3.31818,2.86321,0.0600902,3.98507e-05,3.98507e-05
3,333.947,2.48605,3.13676,2.73448,0.19453,0.14468,0.09025,0.03352,2.26476,3.1136,2.61543,0.04011,5.96529e-05,5.96529e-05
4,442.871,2.24365,2.92542,2.52213,0.24231,0.13617,0.10812,0.05117,1.95857,2.72204,2.33563,0.0201297,7.9356e-05,7.9356e-05
5,551.191,2.08916,2.72725,2.36848,0.20055,0.17447,0.11227,0.05759,1.92437,2.67245,2.26549,0.000149338,9.89601e-05,9.89601e-05
6,658.97,1.9769,2.66122,2.25758,0.19068,0.19574,0.10732,0.0597,1.78934,2.67747,2.17184,9.87625e-05,9.87625e-05,9.87625e-05
7,766.892,1.85933,2.50635,2.15855,0.29632,0.19149,0.16483,0.09082,1.68089,2.45828,2.04088,9.8515e-05,9.8515e-05,9.8515e-05
8,874.72,1.81112,2.47681,2.10916,0.21358,0.25532,0.14618,0.08117,1.69079,2.50117,2.00877,9.82675e-05,9.82675e-05,9.82675e-05
9,981.555,1.76794,2.39849,2.05888,0.31052,0.22979,0.19213,0.10626,1.64293,2.33779,1.96933,9.802e-05,9.802e-05,9.802e-05
10,1089.2,1.70897,2.39539,2.01702,0.2837,0.27234,0.20797,0.11758,1.62232,2.32734,1.93752,9.77725e-05,9.77725e-05,9.77725e-05
11,1197.08,1.6745,2.32578,1.96048,0.30629,0.25532,0.19315,0.12027,1.58436,2.34848,1.90323,9.7525e-05,9.7525e-05,9.7525e-05
12,1304.6,1.62612,2.28002,1.93535,0.26784,0.3234,0.20505,0.12202,1.57489,2.23433,1.88598,9.72775e-05,9.72775e-05,9.72775e-05
